,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
41,periurban,West,16,76522.0,87842.7527333,94912.591864,17,885.2226653373216,19.121964296606556,807.9049950515526,19.002918754852622,777.8695362098185,15.869074527686791
42,periurban,West,30,131171.0,163651.8485135,208324.5948691,34,852.8607147106695,28.476731671371034,802.3700569680182,22.216639427516718,750.7011801799575,20.25089909640341
43,periurban,West,32,33544.0,37372.838683,39338.0223357,9,843.4353611317948,37.43318011336709,788.4398309379942,27.53481155790956,772.1885184858885,26.77437657048416
44,periurban,West,35,176235.0,182935.6008169,183722.6833504,63,808.1895542601429,34.29784160642547,886.1866607191243,33.56777670146191,979.9469924197548,34.85539005523008
45,periurban,West,41,216745.0,258529.6470472,286587.5174846,69,800.2956042025928,19.076155952360185,750.5383489787744,17.88802715868098,717.5672852349868,17.798087348271448
46,periurban,West,49,219908.0,294759.2495866,376362.5737702,49,810.878906714201,20.74272447625305,690.2680416364165,15.086242039738408,640.7543040366775,12.447154956135604
47,periurban,West,53,449124.0,566046.59329012,680005.71129553,128,696.4399289904577,22.19269446950502,651.7419689785563,18.705265521908764,626.080516465877,15.980041577606947
48,periurban,West,56,61489.0,71399.25482472,85203.3117984,17,984.5068440221244,30.09565797157748,933.7180570071862,27.52763512609652,893.4210351678121,24.34021993661839
49,rural,Midwest,17,580299.0,515605.67449627,383805.69556521,868,765.4480156216692,43.2635744774263,878.5423035525672,49.19296733180679,1250.4317544872238,67.970367544366
50,rural,Midwest,18,369624.0,359714.20123311,304033.53646592,454,715.9758568528534,33.803318987784635,756.8526650711024,35.58394256861985,934.7245810244318,45.67455352155262
51,rural,Midwest,19,484000.0,482537.76421365,472319.468079796,826,853.0790437793198,38.477339182590015,902.0992526659786,41.20340684767723,1044.6299904759685,46.00674079599236
52,rural,Midwest,20,305278.0,286046.10058575,258399.33911684,589,1029.326301555105,71.71006787192118,1122.3221106685542,77.67494842107386,1305.2923482849603,89.87708476169098
53,rural,Midwest,26,357199.0,329178.42344371,260845.7628666,414,696.5220662005986,35.120669673255705,782.8875723694387,37.558869783419254,1095.5680876398383,52.81567469730324
54,rural,Midwest,27,424704.0,415357.2515449,372838.623311518,648,800.0329052468403,39.480011807396835,839.1901740889773,42.0862261006871,997.1429486437216,49.677664113386136
55,rural,Midwest,29,402050.0,377596.963868877,307241.107944493,728,796.6532795756013,54.14522351672876,881.1303834779676,58.4664853682997,1159.2688534881408,75.2741143555593
56,rural,Midwest,31,227042.0,230530.382271784,243050.724949936,483,958.4856814921092,53.12858901657588,1010.1881778586136,54.11297862801753,1077.5087129648891,59.37292515210139
57,rural,Midwest,38,131968.0,195319.702137851,345080.37989522,337,1049.2085421994884,64.23881745734514,932.0706673447468,50.84697323236515,738.5242187808406,38.20066641543992
58,rural,Midwest,39,470825.0,449698.27022933,365008.86695646,650,587.6426574500769,23.84479117354218,639.8492560176023,25.52139813780626,832.1431756012944,34.03411664972553
59,rural,Midwest,46,152309.0,171896.267496765,244896.18389242,369,946.963502947191,63.61160354158312,912.5322687610178,58.97522772886234,759.5815378004387,46.46090486757072
60,rural,Midwest,55,442563.0,428441.01520428,367361.94632021,550,693.0840506347048,36.15438060324597,748.4370069837602,38.81062047945568,959.2506786909601,49.04874724865813
61,rural,Northeast,09,24353.0,22850.90606125,20176.06922836,31,476.6129191863661,39.105433779140704,472.5404492922997,41.01563203265057,524.8172998366015,42.4917450982224
62,rural,Northeast,23,105567.0,96793.42439835,79193.39567468,89,621.2223231701059,33.017066812738385,691.2330577304939,35.75605922767226,950.8334911782248,48.10469793634484
63,rural,Northeast,25,27342.0,28193.3278004,26811.441926800002,23,476.0631353512279,22.74001959939985,453.12679263428856,21.10900042180984,484.91162854030506,21.99457965415729
64,rural,Northeast,33,50441.0,46220.2336545,35525.99109816,49,427.0716772823779,27.871727674950776,459.6107015620841,29.41286428547623,595.5830513141635,40.70485544562987
65,rural,Northeast,34,103457.0,104076.9970071,96685.18897626,143,633.6226495726495,26.56854654962233,639.4265425626479,25.827784941985108,680.6866189194205,29.015469998365106
66,rural,Northeast,36,433045.0,397001.47664466,318846.19499698,519,560.1392817549636,23.18103800072727,637.2570394054867,25.852435161995334,822.3548389211826,34.310348827616274
67,rural,Northeast,42,491244.0,463908.80854422,391037.69268539,745,525.4235921568628,27.989114979085176,575.2345721469518,30.39680532911085,725.0601547937412,38.448841081081085
68,rural,Northeast,44,6225.0,5862.0884614,4850.6081261,7,401.9233408748114,24.39046390857143,395.1324679365133,27.38370431533415,475.7917501001188,36.40838231263329
69,rural,Northeast,50,79822.0,73604.84910209,58468.29195659,144,563.159087904526,32.4814158423856,642.2153753431426,37.023082390126035,848.3861798050948,49.27164575266309
70,rural,South,01,319243.0,308985.90263632,269241.30867108,382,825.9889042315539,67.94166064369134,914.2971965640374,73.19639044894959,1164.8981421935432,91.26753792032844
71,rural,South,05,274315.0,267266.940097301,250349.431366283,477,831.2406812416955,61.848710580555554,929.3713803402154,70.26149815174313,1204.282222864576,86.29137133014748
72,rural,South,10,16623.0,19907.04926187,21846.4652211,20,595.0707180446493,15.88767905953578,517.5857331411951,12.758394081994211,486.45300938540015,11.205226400628542
