,citytype_at_2050,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
41,periurban,West,16,76522.0,87842.7527333,94912.591864,17,885.2226653373216,19.121964296606556,810.4901941345283,19.002887086447583,777.8230710415722,15.869041903829606
42,periurban,West,30,131171.0,163651.8485135,208324.5948691,34,852.8607147106695,28.476731671371034,803.5312755714588,22.214301599997853,751.7899751472464,20.25268419044272
43,periurban,West,32,33544.0,37372.838683,39338.0223357,9,843.4353611317948,37.43318011336709,789.0121233791632,27.53481155790952,772.2042157347943,26.77255106197871
44,periurban,West,35,176235.0,182935.6008169,183722.6833504,63,808.1895542601429,34.29784160642547,886.2444659370137,33.56758047726485,978.2775198642922,34.856238623564664
45,periurban,West,41,216745.0,258529.6470472,286587.5174846,69,800.2956042025928,19.076155952360185,750.6028748567093,17.886702186750068,718.2174365327904,17.798142182565872
46,periurban,West,49,219908.0,294759.2495866,376362.5737702,49,810.878906714201,20.74272447625305,692.9266045721105,15.086969572112713,643.3406625518784,12.45058360632448
47,periurban,West,53,449124.0,566046.59329012,680005.71129553,128,696.4399289904577,22.19269446950502,651.7290535818149,18.70384772857861,625.8094734419367,15.980919311371343
48,periurban,West,56,61489.0,71399.25482472,85203.3117984,17,984.5068440221244,30.09565797157748,933.6350028130396,27.552555773460245,893.0810887176206,24.34402917666437
49,rural,Midwest,17,580299.0,515605.67449627,383805.69556521,868,765.4480156216692,43.2635744774263,878.5423035525694,49.19296733180667,1250.4312542985624,67.97036754436584
50,rural,Midwest,18,369624.0,359714.20123311,304033.53646592,454,715.9758568528534,33.803318987784635,756.8526650711021,35.58375662512805,934.7245810244344,45.67455352155271
51,rural,Midwest,19,484000.0,482537.76421365,472319.468079796,826,853.0790437793198,38.477339182590015,902.0992526659797,41.203406847677336,1044.4758984766622,46.00542240038864
52,rural,Midwest,20,305278.0,286046.10058575,258399.33911684,589,1029.326301555105,71.71006787192118,1122.322110668552,77.67494842107406,1305.292348284958,89.87456644292644
53,rural,Midwest,26,357199.0,329178.42344371,260845.7628666,414,696.5220662005986,35.120669673255705,782.8875723694396,37.55881725206625,1095.5680876398396,52.81533802061969
54,rural,Midwest,27,424704.0,415357.2515449,372838.623311518,648,800.0329052468403,39.480011807396835,839.1768972327627,42.08622610068713,997.1429486437264,49.67766363936039
55,rural,Midwest,29,402050.0,377596.963868877,307241.107944493,728,796.6532795756013,54.14522351672876,881.1279811476719,58.466308326868926,1159.26885348814,75.27411435555948
