,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
50,suburban,Midwest,20,1727086.0,2090797.650295,2426804.566926,29,1026.538712310809,15.231924560171322,1014.826641214534,13.321493256379185,1042.500040281603,12.1301256975054
51,suburban,Midwest,26,3537902.0,3909040.594826,4038629.50593,92,943.1167280159567,11.162533998407499,953.6393954761575,10.689741320934445,995.6991929386181,9.86291642631705
52,suburban,Midwest,27,2251490.0,2793222.8215199998,3343709.87711,68,841.8454277960783,11.507617759541485,823.6508118716123,9.536595515586708,822.091303864081,7.98194220278512
53,suburban,Midwest,29,2158442.0,2571027.43593,2869059.063402,62,1076.5184084433795,15.282937306119615,1061.25802033639,13.679053958050648,1088.3254288771668,12.288421286202452
54,suburban,Midwest,31,1131794.0,1469273.65568,1956178.309052,16,943.3728613378656,13.710500466805156,915.514567448886,12.27908390531803,884.0072567214377,10.699036308424628
55,suburban,Midwest,38,402049.0,714714.03711,1364936.23938,8,840.0909560333016,14.22930342632863,784.4389273813306,8.330353146025589,724.2968726166418,4.501608160680885
56,suburban,Midwest,39,4483389.0,4942909.282109,5129996.530805,136,945.102141517574,12.239118405969649,970.9698997227404,11.352196882059772,1022.1120749756519,11.613292911296538
57,suburban,Midwest,46,436806.0,591028.18031,893718.7379899999,12,831.7384076339326,14.484382263232025,812.2634792699521,12.31010656299374,787.3810090806758,8.549250993672622
58,suburban,Midwest,55,1855751.0,2065417.5504700001,2143613.467629,64,927.1117745055934,14.126038345146991,932.1953484767366,12.788045934609965,932.8440621461941,12.802884209947518
59,suburban,Northeast,09,944098.0,1009502.02466,1047570.37122,23,785.3709945452886,9.549434823242132,801.0668460798449,9.22588869075232,829.3304439947767,8.391029494102696
60,suburban,Northeast,23,244711.0,265340.63981,269975.604424,11,725.6428200093916,14.4916821463931,720.2626074843588,13.704776197594905,741.8446520417331,13.423236543793475
61,suburban,Northeast,25,1550826.0,1813133.1734200001,2023840.41256,39,678.3151964630194,10.473925988324874,680.4383328914005,8.683363378736964,689.2744697091258,7.676372044007074
62,suburban,Northeast,33,450036.0,486419.10095,480462.74040199997,14,596.7226308531554,12.69621903026676,590.3833568123886,11.400738948050154,609.7272583985375,12.105846496814143
63,suburban,Northeast,34,1947515.0,2252277.17948,2496742.521055,95,734.2155356232316,9.527029675367867,723.0892309977851,8.24110460028204,732.7074946249467,7.741070782026912
64,suburban,Northeast,36,3030386.0,3173772.007287,3093718.423722,145,739.1707066276803,10.333689337667307,755.5107401963625,10.16140144815286,797.118179977454,10.309494420597476
65,suburban,Northeast,42,1253651.0,1362663.70692,1434097.727776,55,789.7527560944266,10.125645136150576,815.3435689654659,9.374223260097942,867.733648315362,9.325634732711956
66,suburban,Northeast,44,324153.0,348500.65809,365522.49251,8,941.5546723095647,10.516623059831998,947.3416686273698,9.610836767486614,978.1653484934143,9.068588595368315
67,suburban,Northeast,50,46689.0,49066.18431,50081.26977,3,682.4104723286857,12.60124701040065,672.074401567693,11.06073135265448,666.7072580789603,10.101217055204073
68,suburban,South,01,2151462.0,2522418.350285,2787859.16172,55,993.2275991983804,22.4332873651176,982.5516396650077,20.07869677490558,1028.6752934353246,19.399719329510848
69,suburban,South,05,1223737.0,1536822.65219,1877895.591852,30,1062.0971620039495,17.199283750572704,1084.9540194700521,16.31337393528895,1104.7130257771119,15.478864127610194
70,suburban,South,10,159686.0,191841.1445,216176.64843,8,743.4739960551785,10.196810250893552,729.7873154615313,8.466971774113572,720.3526939667453,7.636867365086412
71,suburban,South,12,8320749.0,11041545.96598,13560355.006061,177,1129.8901600547742,12.607138284953333,1099.170860214192,9.862958435351032,1084.6333428178402,8.52140921121509
72,suburban,South,13,2837993.0,3534206.5655920003,4150897.84058,75,955.4845850827256,15.325350271723144,933.1085277295804,12.280619300356422,942.0659005642908,10.390220863475458
