,GEOID,NAMELSAD,city type,REGION,label,future trend from SSP 2,CensusPop_20,ssp22030,ssp22040,ssp22050,ssp22060,ssp22070,ssp22080,ssp22090,ssp22100,volume_m3_perCap_2020_ssp2,volume_m3_perCap_2030_ssp2,volume_m3_perCap_2040_ssp2,volume_m3_perCap_2050_ssp2,volume_m3_perCap_2060_ssp2,volume_m3_perCap_2070_ssp2,volume_m3_perCap_2080_ssp2,volume_m3_perCap_2090_ssp2,volume_m3_perCap_2100_ssp2,length_m_perCap_2020_ssp2,length_m_perCap_2030_ssp2,length_m_perCap_2040_ssp2,length_m_perCap_2050_ssp2,length_m_perCap_2060_ssp2,length_m_perCap_2070_ssp2,length_m_perCap_2080_ssp2,length_m_perCap_2090_ssp2,length_m_perCap_2100_ssp2,weighted_HU_density_sqmi,RBUV_Burden_2050,RBUV_Burden_2100,RL_Burden_2050,RL_Burden_2100
28012,4813198,Cashion Community city,rural,South,,increasing,286,298.147892,305.3861334,311.3362147,319.5394681,325.326419,329.3549481,328.381394,324.2503955,971.1073906485668,1177.2883850462522,1152.8037132634404,1132.6533429379058,1103.7790609120195,1088.3966583830088,1076.4116150720051,1079.6933578008834,1093.0229054280546,74.7749472395105,73.06468694923439,72.0963074208723,71.32662582674305,70.30224599189349,69.60389268087232,69.12904984648452,69.33399711553457,70.21732260120318,30.98016540597425,increasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28013,4810708,Browndell city,rural,South,2 moderately depopulating,decreasing,160,160.5122527,158.5204471,155.8246495,154.1392679,152.0909644,149.2268788,144.4072615,139.4716114,782.3131372549019,702.202752300366,711.0354913230121,724.7092507715316,734.1210592231099,743.7805468444667,758.7559940963687,785.1016883358259,813.342756261575,165.80584126475,165.5113083927741,167.59095399654967,170.49031101750427,172.354477346318,174.67568216332904,178.0282022319466,183.96992423714505,190.4802897935729,20.463996388773435,decreasingBurden,increasingBurden,increasingBurden,increasingBurden
28014,4831412,Gruver city,rural,South,3 slowly depopulating,no trend,1130,1153.240373,1173.690166,1186.703259,1187.632101,1195.634517,1183.186901,1145.07289,1101.948677,1512.2286968592744,1405.7175431853386,1382.9373834042124,1369.2204056225044,1368.177100822443,1359.8905059544709,1374.834357668256,1420.4620481410889,1475.8884257001332,31.019876865115044,30.67059991594228,30.372200718790403,30.18649483294594,30.17336080387858,30.06086329061987,30.37711601667176,31.38822521689717,32.61658778785694,1.2686711788520724,decreasingBurden,increasingBurden,decreasingBurden,increasingBurden
28015,4839460,Kirbyville city,rural,South,3 slowly depopulating,decreasing,2036,1947.750441,1838.027716,1728.06132,1639.12838,1549.439398,1450.908061,1337.312798,1227.816693,844.8072941946912,769.2419450762312,815.2792758479317,867.1778408613995,914.2668145262346,967.3875461642986,1032.7245410120595,1120.7803358328335,1220.263280951546,32.95854890118861,34.451849759750615,36.50848405531878,38.831727084094446,40.93859052261666,43.30831244476978,46.24938503448013,50.177943158231855,54.65278811193032,184.05209250738872,increasingBurden,increasingBurden,increasingBurden,increasingBurden
28016,4837780,Johnson City city,rural,South,4 fluctuating,increasing,1627,1787.680018,1888.886493,1952.028485,2004.465946,2070.527356,2108.255674,2095.380756,2101.968621,943.0780119792234,811.2793060838085,771.9135809752628,749.3276337731536,731.7057082077758,710.2451182260373,698.951323538881,703.2884916563061,700.7570156690084,35.54244255755992,33.72845540884237,32.71099466807012,32.11816357995318,31.64806453567508,31.08237837786712,30.771747640916768,30.96082245534324,30.906811320337248,13.688865213023414,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28017,4863476,Round Mountain town,rural,South,2 moderately depopulating,no trend,101,105.8814966,107.9821075,108.6061728,109.2037176,109.9173667,109.0847653,106.9745042,104.6119827,1346.5686274509812,1142.290716153422,1123.1259490918744,1113.7949446743523,1113.7949446743523,1104.6256219012985,1114.7598019187417,1135.596433730307,1157.2268419918364,199.04146481881187,193.88387225989504,191.7768275809164,191.16309872622995,190.58057253852985,189.89132665393737,191.34069296998632,195.1152262033136,199.52164222741877,2.961532702625408,decreasingBurden,increasingBurden,decreasingBurden,increasingBurden
28018,4850724,Nesbitt town,rural,South,3 slowly depopulating,increasing,273,287.1471928,295.8055484,302.5223655,309.0927472,314.9423568,318.3661223,317.1952132,313.4363685,641.7787545787545,565.0831316168361,549.5079648978885,538.0040463301406,528.5391094427824,519.4179611159173,514.9804146916391,516.6049585865653,523.2069388879911,77.39370125868132,75.2490432791552,74.01584821861844,73.09722355255155,72.22882840789308,71.47952339850795,71.05092626036335,71.31320694008227,72.1684212575195,14.25757709620386,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28019,4827288,Franklin city,rural,South,5 slowly increasing,decreasing,1614,1656.779293,1656.494298,1651.399905,1645.131094,1646.534218,1623.247407,1595.287428,1551.448923,687.9963845761351,579.030475897639,579.3801319821182,581.1347659372427,583.2544064209044,582.2118886666785,590.8213066136904,601.1930913065953,618.2482144642291,30.83127950449814,30.385907598960664,30.391135405507672,30.48488882465412,30.601052215580687,30.586544675531385,31.025333662306064,31.56910255463264,32.46113466711152,8.878363638449985,decreasingBurden,increasingBurden,decreasingBurden,increasingBurden
28020,4831952,Hamilton city,rural,South,3 slowly depopulating,decreasing,2895,2816.709147,2692.451239,2560.479807,2458.433251,2369.428837,2265.369596,2144.844787,2022.275875,975.260617020555,953.5096396046124,997.7847900320182,1049.2330682680442,1092.7732525493057,1133.8272075838722,1185.8881477996438,1252.2315406835398,1328.4058628912924,45.423081073084624,46.68562242098616,48.84018614777966,51.357491415115845,53.48927804043112,55.49853097638314,58.04784346835561,61.30971364623038,65.02565813706302,152.61974281768968,increasingBurden,increasingBurden,increasingBurden,increasingBurden
28021,4848852,Mobeetie city,rural,South,2 moderately depopulating,increasing,87,91.34138355,95.48701161,99.97810866,102.8455222,106.1044518,108.1312188,106.8069523,104.2965703,1621.754699121027,1375.9688699861897,1323.4202181913513,1263.3786268044128,1230.0236814819718,1198.469695531012,1178.3623864017563,1189.3751189849502,1223.6840166479776,144.48193512091953,140.62104870054657,137.19179990311224,133.72899297896203,131.6421229886258,129.3775816434818,128.02307660954844,129.6103952992978,132.73007222094864,2.210586101553402,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
